,document_id,annotation_text,dbPediaIri,locations
0,0recipe1006,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(3, 12)]"
1,0recipe1006,Cheese,http://dbpedia.org/resource/Cheese,"[(4, 6), (67, 6), (78, 6)]"
2,0recipe1006,Beef,http://dbpedia.org/resource/Beef,"[(6, 4)]"
3,0recipe1006,Olive,http://dbpedia.org/resource/Olive,"[(8, 5)]"
4,0recipe1006,Onion,http://dbpedia.org/resource/Onion,"[(10, 5)]"
5,0recipe1006,Worcestershire sauce,http://dbpedia.org/resource/Worcestershire_sauce,"[(13, 20), (14, 20)]"
6,0recipe1006,Walnut,http://dbpedia.org/resource/Walnut,"[(63, 6), (71, 6)]"
7,0recipe1013,Artichoke,http://dbpedia.org/resource/Artichoke,"[(20, 9), (20, 9)]"
8,0recipe1013,Mozzarella,http://dbpedia.org/resource/Mozzarella,"[(23, 10), (23, 10)]"
9,0recipe1013,Cheese,http://dbpedia.org/resource/Cheese,"[(24, 6), (27, 6)]"
10,0recipe1013,Mayonnaise,http://dbpedia.org/resource/Mayonnaise,"[(29, 10)]"
11,0recipe1013,Almond,http://dbpedia.org/resource/Almond,"[(44, 6)]"
12,0recipe1013,Tortilla chip,http://dbpedia.org/resource/Tortilla_chip,"[(51, 13), (52, 13)]"
13,0recipe1046,Tomato,http://dbpedia.org/resource/Tomato,"[(16, 6), (95, 6), (116, 6)]"
14,0recipe1046,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(37, 12), (82, 12), (108, 12)]"
15,0recipe1046,Cheese,http://dbpedia.org/resource/Cheese,"[(38, 6), (55, 6), (66, 6), (83, 6), (109, 6), (122, 6), (125, 6), (154, 6)]"
16,0recipe1046,Garlic,http://dbpedia.org/resource/Garlic,"[(40, 6), (85, 6), (111, 6)]"
17,0recipe1046,Provolone,http://dbpedia.org/resource/Provolone,"[(65, 9), (65, 9), (102, 9), (121, 9), (121, 9)]"
18,0recipe1046,Pesto,http://dbpedia.org/resource/Pesto,"[(74, 5), (105, 5)]"
19,0recipe1058,Garlic,http://dbpedia.org/resource/Garlic,"[(2, 6)]"
20,0recipe1058,Chickpea,http://dbpedia.org/resource/Chickpea,"[(21, 8), (21, 8)]"
21,0recipe1058,Tahini,http://dbpedia.org/resource/Tahini,"[(24, 6)]"
22,0recipe1058,Lemon,http://dbpedia.org/resource/Lemon,"[(26, 5), (26, 5)]"
23,0recipe1058,Honey,http://dbpedia.org/resource/Honey,"[(29, 5)]"
24,0recipe1058,Pita,http://dbpedia.org/resource/Pita,"[(74, 4)]"
25,0recipe1058,Bread,http://dbpedia.org/resource/Bread,"[(75, 5)]"
26,0recipe1058,Rosemary,http://dbpedia.org/resource/Rosemary,"[(91, 8)]"
27,0recipe1058,Hummus,http://dbpedia.org/resource/Hummus,"[(107, 6)]"
28,0recipe106,Chicken,http://dbpedia.org/resource/Chicken,"[(20, 7), (97, 7), (135, 7)]"
29,0recipe106,Cumin,http://dbpedia.org/resource/Cumin,"[(26, 5)]"
30,0recipe106,Vegetable oil,http://dbpedia.org/resource/Cooking_oil,"[(36, 13), (36, 13), (37, 13), (49, 13), (90, 13)]"
31,0recipe106,Maize,http://dbpedia.org/resource/Maize,"[(45, 5)]"
32,0recipe106,Corn tortilla,http://dbpedia.org/resource/Corn_tortilla,"[(45, 13)]"
